Tesla,1121156695546183682,psk2329,2921,2019-04-24 20:59:20,'Breaking: Tesla forgot to get Deepak's password when he left and now they can't release the earnings. 40 minute late and counting...' -Tweet From Electrek's Fred Lambert $TSLA
Tesla,1121156667708559361,emilychangtv,140367,2019-04-24 20:59:14,Going live now and Tesla earnings still not out! Been covering earnings for almost a decade and can't remember last time this happened - can you? https://t.co/C1utaSW7mk
Tesla,1121156667335413760,C_GalvanPaz,91,2019-04-24 20:59:14,"USA: Tesla says robotaxis coming to U.S. roads next year, slams rivals' use of Lidar. #telecoms"
Tesla,1121156655570460675,bgrahamdisciple,1693,2019-04-24 20:59:11,Maybe Tesla switched to full self accounting and it works as well as their full self driving.
Tesla,1121156605943304192,tesla_truth,1082,2019-04-24 20:58:59,Green disproves short propaganda claims that AutoPilot can not recognize fire trucks 🚒 https://t.co/qleCKuEKun
Tesla,1121156601497341952,ughitserick,477,2019-04-24 20:58:58,might fix my resume and just apply to spacex and tesla
Tesla,1121156597529612290,C_GalvanPaz,91,2019-04-24 20:58:57,USA: Tesla has plans for fully self-driving cars by next year. #telecoms
Tesla,1121156580186238977,adamdeman543,39,2019-04-24 20:58:53,is there any @Tesla executives left to actually release the report?
Tesla,1121156572569169920,ex_Tesla,1454,2019-04-24 20:58:51,"If Tesla doesn't report...

Did we win?"
Tesla,1121156565086736384,Vinnymaurer1,24,2019-04-24 20:58:49,"@connellmcshane I feel your pain.  Actually said Tesla earnings coming up 15 times. Perhaps you should tweet Musk, it seems to be the only way to get an answer!"
Tesla,1121156565023764481,DroneStar2,185,2019-04-24 20:58:49,"https://t.co/ogg13wjZms

Let's release our numbers Tesla https://t.co/L5FavuVguw"
Tesla,1121156518655606784,jjjinvesting,158621,2019-04-24 20:58:38,$TSLA - Tesla: Why Did The Autonomy Vehicle Day Turn Me Bullish? https://t.co/qlI5evMKJJ
Tesla,1121156446261932033,PO_Tomato,271,2019-04-24 20:58:21,wish i could afford the premiums on some tesla puts rn
Tesla,1121156408114733056,Bim_Star,982,2019-04-24 20:58:12,"Driving A Tesla Results In More CO2 Than A Mercedes Diesel Car, Study Finds https://t.co/47myZMQsuf"
Tesla,1121156406382608392,mikeratcliffe,7836,2019-04-24 20:58:12,"This concept imagines what @Tesla's New ‘Bakkie’ could look like. Oh, now South Africans are showing interest!

https://t.co/WAmPEnONc5 https://t.co/wnwu6d8BLg"
Tesla,1121156387457961984,ProTradersNews,2320,2019-04-24 20:58:07,"$TSLA $GOOG $GOOGL:

Tesla Declares War on Waymo’s Lidar Technology:

https://t.co/zZ5tUd9mab"
Tesla,1121156386736476162,keebzgaming,1264,2019-04-24 20:58:07,"@elonmusk I just filled in an order for a tesla X with all the extras ,felt great . Then I deleted because I can't afford one . What a world 😑"
Tesla,1121156357200150528,YuBenATwit,137,2019-04-24 20:58:00,"Tesla just updated Model S &amp; X drivetrains, so they can now go up to 370 miles on a single charge!

Supposedly, he could have kept going 400 miles on one charge &amp; made it to Costa Mesa: 2019 Tesla Model S Review: From SF to LA on One Charge? - MotorTrend https://t.co/k4PkHumQZJ"
Tesla,1121156349767892992,gregcrum01,31,2019-04-24 20:57:58,"@Tesla @elonmusk will the standard range S &amp; X have all the same upgrades as the long range, just software limited on the range?"
Tesla,1121156349403045888,realwillmeade,7910,2019-04-24 20:57:58,Elon boarding Space X as we speak #Tesla earnings
Tesla,1121156334186041344,hengkhoonboey,28,2019-04-24 20:57:54,This looks like the game ‘The Division’ with the echo’s. Fantastic what @Tesla is doing with HW3 and Self Driving. Great stuff @elonmusk ! https://t.co/qIap4cagjE
Tesla,1121156319459840000,AHavrilla,161,2019-04-24 20:57:51,"You all were complaining they are late???? It's not even 2pm PDT
Apr 24, 2019 
2:30 PM PDT
Tesla, Inc. Q1 2019 Financial Results and Q&amp;A Webcast
Listen to webcast @cnbc"
